 ,bkg cos,bkg mu,bkg v,sig 15,sig 25,sig 35,sig 45,sig 55,bkg v_l
Total,860795,23689,200,8601,9057,9055,8964,8846,81833
Fiducial volume,770775,23056,187,8356,8806,8802,8708,8598,60915
#Hits before PV,104890,17,39,7938,8318,8254,8121,7950,4103
Track velocity,81307,17,31,7707,8119,8090,7945,7748,3598
PV to CMS direction,7960,15,4,7167,7104,6622,5897,4785,2712
More than 2 tracks,274,0,2,6442,6595,6269,5606,4542,1401
Downward fraction of tracks,105,0,2,6207,6369,6038,5387,4338,1334
N_hits vs N_veto,0,0,0,5871,6064,5808,5129,4098,1013
N_hits vs N_veto 2,0,0,0,5837,6037,5783,5095,4056,952
