 ,bkg cos,bkg mu,bkg v,sig 15,sig 25,sig 35,sig 45,sig 55,bkg v_l
Total,232650,23689,200,8601,9057,9055,8964,8846,81833
Fiducial volume,213714,23056,187,8356,8806,8802,8708,8598,60915
#Hits before PV,50069,17,39,7938,8318,8254,8121,7950,4103
Track velocity,38980,17,31,7707,8119,8090,7945,7748,3598
PV to CMS direction,3999,15,4,7167,7104,6622,5897,4785,2712
#Tracks in PV,5,0,1,5155,5645,5509,4950,4001,549
Downward fraction of tracks,1,0,1,5033,5522,5357,4811,3876,531
Hit fraction inconsistent,0,0,0,4859,5348,5223,4656,3707,447
